type_id,path,duraction,title,picture,created_at,album
1,/media/audio/r/a/02. Creep.flac,00:03:55,Creep,/media/image/TestScreen_square.svg,2020-06-07,34
1,"/media/audio/e/m/Eminem, Juice WRLD - Godzilla (Lyrics).mp3",00:03:36,Godzilla,/media/image/TestScreen_square.svg,2020-06-07,35
1,/media/audio/e/m/Eminem   Lose Yourself (House Beats Remix).mp3,00:03:23,Lose Yourself,/media/image/TestScreen_square.svg,2020-06-07,36
1,/media/audio/e/m/Love the way you lie_ Eminem ft. Rihanna.mp3,00:04:26,Love The Way You Lie,/media/image/TestScreen_square.svg,2020-06-07,37
1,/media/audio/l/i/02. XO Tour Life.mp3,00:02:59,XO Tour Llif3,/media/image/TestScreen_square.svg,2020-06-07,38
1,/media/audio/l/i/04-migos_feat_lil_uzi_vert-bad_and_boujee-573c481e.mp3,00:05:43,Bad And Boujee,/media/image/TestScreen_square.svg,2020-06-07,39
1,/media/audio/p/o/Sunflower   Post Malone   Swae Lee.mp3,00:02:38,Sunflower,/media/image/TestScreen_square.svg,2020-06-07,40
1,/media/audio/p/o/Post Malone – Circles(MP3_70K).mp3,00:03:46,Circles,/media/image/TestScreen_square.svg,2020-06-07,40
1,/media/audio/l/a/10_Lady_Gaga_&_Bradley_Cooper-Shallow.mp3,00:03:35,Shallow,/media/image/TestScreen_square.svg,2020-06-07,41
1,/media/audio/l/a/Lady_Gaga_BLACKPINK_Sour_Candy_Audio_.hd.mp3,00:02:38,Sour Candy,/media/image/TestScreen_square.svg,2020-06-07,42
1,/media/audio/l/a/Lady Gaga - Rain On Me.mp3,00:03:02,Rain On Me,/media/image/TestScreen_square.svg,2020-06-07,42
1,/media/audio/j/u/392139768.mp3,00:03:31,Yummy,/media/image/TestScreen_square.svg,2020-06-07,43
1,/media/audio/j/u/DJ Snake ft Justin Bieber – Let Me Love You.mp3,00:03:02,Let Me Love,/media/image/TestScreen_square.svg,2020-06-07,44
1,/media/audio/a/r/Ariana-Grande-7-Rings-128.mp3,00:02:59,7 rings,/media/image/TestScreen_square.svg,2020-06-07,45
1,/media/audio/m/a/Малый Повзрослел   Макс Корж.mp3,00:03:25,Малый повзрослел,/media/image/TestScreen_square.svg,2020-06-07,46
1,/media/audio/m/a/2 типа людей   Макс Корж.mp3,00:04:15,2 типа людей,/media/image/TestScreen_square.svg,2020-06-07,0
1,/media/audio/m/a/Малиновый закат   Макс Корж.mp3,00:02:58,Малиновый закат,/media/image/TestScreen_square.svg,2020-06-07,47
1,/media/audio/m/a/Макс Барских – Неверная.mp3,00:03:46,Неверная,/media/image/TestScreen_square.svg,2020-06-07,48
1,/media/audio/t/h/The Hardkiss – Антарктида.mp3,00:03:58,Антарктида,/media/image/TestScreen_square.svg,2020-06-07,49
1,/media/audio/t/h/The Hardkiss – Stones.mp3,00:03:18,Stones,/media/image/TestScreen_square.svg,2020-06-07,50
1,/media/audio/a/r/2000   Артём Пивоваров.mp3,00:03:53,2000е,/media/image/TestScreen_square.svg,2020-06-07,0
1,/media/audio/a/l/alyona alyona – Пушка.mp3,00:03:17,Пушка,/media/image/TestScreen_square.svg,2020-06-07,51
1,/media/audio/a/l/alyona_alyona_-_litak.mp3,00:03:50,Літак,/media/image/TestScreen_square.svg,2020-06-07,51
1,/media/audio/s/k/Скриптонит_feat_104_Мультибрендовый.mp3,00:03:10,Мультибрендовый,/media/image/TestScreen_square.svg,2020-06-07,0
1,"/media/audio/o/l/Эй, секундочку   Оля Полякова.mp3",00:03:51,"Эй, секундочку",/media/image/TestScreen_square.svg,2020-06-07,0
1,/media/audio/o/l/Оля_Полякова-Ночная_жрица.mp3,00:03:28,Ночная жрица,/media/image/TestScreen_square.svg,2020-06-07,0
1,/media/audio/p/o/Порнофильмы - Уроки любви.mp3,00:05:16,Уроки любви,/media/image/TestScreen_square.svg,2020-06-07,52
1,/media/audio/b/r/Bring Me The Horizon - Can You Feel My Heart – QJJYpsA5tv8.m4a,00:03:48,Can you feel my heart,/media/image/TestScreen_square.svg,2020-06-07,53
1,/media/audio/f/r/Frank Sinatra – That's Life.mp3,00:03:07,That’s Life,/media/image/TestScreen_square.svg,2020-06-07,0
1,/media/audio/f/r/I Will Wait For You - Frank Sinatra.m4a,00:02:16,I will wait for your,/media/image/TestScreen_square.svg,2020-06-07,0
1,/media/audio/n/e/Louis_Armstrong_–_What_A_Wonderful.mp3,00:02:18,What A Wonderful World,/media/image/TestScreen_square.svg,2020-06-07,54
1,/media/audio/n/e/Ella Fitzgerald and Louis Armstrong - Cheek To Cheek.mp3,00:05:40,Cheek to Cheek,/media/image/TestScreen_square.svg,2020-06-07,55
1,/media/audio/l/i/Linkin-Park-In-The-End.mp3,00:03:41,In The End,/media/image/TestScreen_square.svg,2020-06-07,56
1,/media/audio/d/u/Dua_Lipa_Don_t_Start_Now_Offi.mp3,00:03:05,Don’t Start Now,/media/image/TestScreen_square.svg,2020-06-07,57
1,/media/audio/d/u/01. Break My Heart.mp3,00:03:57,Break My Heart,/media/image/TestScreen_square.svg,2020-06-07,57
1,/media/audio/z/i/001.  Zivert  -  Life.mp3,00:03:08,Life,/media/image/TestScreen_square.svg,2020-06-07,58
1,/media/audio/z/i/Zivert - Fly _ Vinyl _1 infdQ-ZHgD4.m4a,00:03:13,Fly,/media/image/TestScreen_square.svg,2020-06-07,58
1,/media/audio/t/v/08 Мова Тіла.m4a,00:03:34,Мова тіла,/media/image/TestScreen_square.svg,2020-06-07,59
1,/media/audio/o/t/Два нуль один вісім   O.Torvald.mp3,00:03:40,Два Нуль Один Вісім,/media/image/TestScreen_square.svg,2020-06-07,0
1,/media/audio/b/a/01  Backstreet Boys - I Want It That Way.mp3,00:03:35,I Want It That Way,/media/image/TestScreen_square.svg,2020-06-07,60
1,/media/audio/c/a/Shawn_Mendes_Señorita_Lyrics_Ft._Camila_Cabello.128.mp3,00:03:04,Señorita ,/media/image/TestScreen_square.svg,2020-06-07,61
